,(S)-Methylmalonyl-CoA,3R-3-Hydroxybutanoyl-CoA,5-methyl-3-Oxodecanoyl-CoA,5-methyl-3-Oxohexanoyl-CoA,5-methyl-3-Oxooctanoyl-CoA,5-methyl-Decanal,5-methyl-Decanoyl-CoA,5-methyl-Hexanoyl-CoA,5-methyl-Nonane,5-methyl-Octanoyl-CoA,5-methyl-S-Hydroxydecanoyl-CoA,5-methyl-S-Hydroxyhexanoyl-CoA,5-methyl-S-Hydroxyoctanoyl-CoA,5-methyl-trans-dec-2-enoyl-CoA,5-methyl-trans-hex-2-enoyl-CoA,5-methyl-trans-oct-2-enoyl-CoA,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,But-2-enoyl-CoA,Butanoyl-CoA,CO2,CoA,Formate,H2O,HCO3-,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Oxygen,Propionyl-CoA,Pyruvate,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,1,0,0,-2,-1,0,0,0,0,0,-4,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,-3,0,0,0,0,0,0,-5,0,0,0,0,0,0,1,,
3*CO2 + 14*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,-3,-1,0,0,0,0,0,-7,0,0,0,0,0,1,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,,
ATP + Propionyl-CoA + HCO3- → ADP + Orthophosphate + (S)-Methylmalonyl-CoA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,,
Acetyl-CoA + Malonyl-CoA → Acetoacetyl-CoA + CO2 + CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,,
Acetoacetyl-CoA + NADPH +Hplus → 3R-3-Hydroxybutanoyl-CoA + NADPplus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
3R-3-Hydroxybutanoyl-CoA → But-2-enoyl-CoA + H2O,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
But-2-enoyl-CoA + NADPH + Hplus → Butanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
(S)-Methylmalonyl-CoA + Butanoyl-CoA → CoA + CO2 + 5-methyl-3-Oxohexanoyl-CoA,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5-methyl-3-Oxohexanoyl-CoA + NADH + Hplus → 5-methyl-S-Hydroxyhexanoyl-CoA + NADplus,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,,
5-methyl-S-Hydroxyhexanoyl-CoA → 5-methyl-trans-hex-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
5-methyl-trans-hex-2-enoyl-CoA + NADPH + Hplus → 5-methyl-Hexanoyl-CoA + NADPplus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
Malonyl-CoA + 5-methyl-Hexanoyl-CoA → CoA + CO2 + 5-methyl-3-Oxooctanoyl-CoA,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,,
5-methyl-3-Oxooctanoyl-CoA + NADH + Hplus → 5-methyl-S-Hydroxyoctanoyl-CoA + NADplus,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,,
5-methyl-S-Hydroxyoctanoyl-CoA → 5-methyl-trans-oct-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
5-methyl-trans-oct-2-enoyl-CoA + NADPH + Hplus → 5-methyl-Octanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
Malonyl-CoA + 5-methyl-Octanoyl-CoA → CoA + CO2 + 5-methyl-3-Oxodecanoyl-CoA,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,,
5-methyl-3-Oxodecanoyl-CoA + NADH + Hplus → 5-methyl-S-Hydroxydecanoyl-CoA + NADplus,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,,
5-methyl-S-Hydroxydecanoyl-CoA → 5-methyl-trans-dec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
5-methyl-trans-dec-2-enoyl-CoA + NADPH + Hplus → 5-methyl-Decanoyl-CoA + NADPplus,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
5-methyl-Decanoyl-CoA + NADH + Hplus → CoA + 5-methyl-Decanal + NADplus,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0,0,0,,
5-methyl-Decanal + Oxygen + 2*NADPH + 2*Hplus → 5-methyl-Nonane + Formate + H2O + 2*NADPplus,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2,0,0,-2,2,0,0,-1,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,,
